Program Time [s],AccX,AccY,AccZ
2526.67,747.56,407.23,547.36
2526.7,734.86,409.67,540.53
2526.74,735.84,420.9,532.23
2526.77,733.89,414.55,547.85
2526.8,746.09,415.53,541.02
2526.84,733.4,413.57,553.71
2526.87,741.21,401.37,542.48
2526.91,757.32,411.13,542.48
2526.94,726.07,414.06,555.18
2526.97,741.7,406.74,535.16
2527.01,744.63,418.46,537.11
2527.04,727.54,411.13,539.06
2527.07,731.45,417.97,546.87
2527.11,742.19,414.55,542.97
2527.14,745.12,413.57,544.92
2527.18,746.58,406.74,537.6
2527.21,735.35,416.99,539.55
2527.24,735.84,407.23,549.32
2527.28,747.56,436.04,553.71
2527.31,734.37,406.74,545.9
2527.35,743.16,413.09,543.46
2527.38,748.54,397.95,543.46
2527.41,728.03,408.2,552.73
2527.45,729,415.53,548.83
2527.48,741.7,421.39,534.67
2527.52,738.77,402.34,540.04
2527.55,748.54,411.13,550.78
2527.58,740.23,404.79,542.48
2527.62,730.47,413.57,540.53
2527.65,728.03,422.36,544.43
2527.69,740.72,411.62,547.36
2527.72,736.33,405.76,546.39
2527.75,739.26,414.06,542.48
2527.79,704.59,398.93,543.46
2527.82,740.23,380.86,533.2
2527.85,732.91,409.18,537.6
2527.89,744.14,412.11,546.87
2527.92,737.3,402.34,553.22
2527.96,731.93,413.57,529.3
2527.99,746.58,417.97,547.85
2528.02,740.72,423.34,541.99
2528.06,739.26,425.29,541.02
2528.09,739.26,400.88,539.06
2528.13,739.26,417.48,546.39
2528.16,796.87,491.21,562.99
2528.19,730.47,408.2,546.39
2528.23,741.7,389.16,530.27
2528.26,745.61,418.46,563.48
2528.29,744.14,419.43,544.92
2528.33,738.77,432.62,539.06
2528.36,750,403.32,522.46
2528.4,744.63,401.86,556.15
2528.43,727.54,416.5,541.99
2528.46,716.8,419.92,533.69
2528.5,746.09,411.13,537.11
2528.53,744.14,402.34,541.5
2528.57,745.12,400.88,561.04
2528.6,739.26,418.46,548.34
2528.63,729.98,424.8,533.69
2528.67,738.77,424.8,552.25
2528.7,728.52,410.64,554.2
2528.74,747.07,405.27,539.55
2528.77,739.26,429.69,541.5
2528.8,747.56,433.11,552.25
2528.84,757.32,406.25,532.71
2528.87,744.63,405.76,557.62
2528.91,728.52,404.79,540.04
2528.94,736.82,423.34,542.97
2528.97,736.82,409.67,557.13
2529.01,734.37,405.27,549.32
2529.04,744.63,414.55,535.64
2529.07,744.63,426.76,544.92
2529.11,752.44,404.3,538.57
2529.14,741.21,416.5,549.32
2529.18,741.21,402.83,542.97
2529.21,731.45,420.9,545.41
2529.24,750.98,414.06,549.8
2529.28,725.1,404.79,545.41
2529.31,744.63,421.87,541.99
2529.35,744.14,405.76,551.76
2529.38,746.09,410.64,539.06
2529.41,734.86,418.46,541.5
2529.45,733.89,416.99,539.55
2529.48,736.33,419.92,549.32
2529.52,746.09,407.71,537.6
2529.55,735.35,413.57,558.59
2529.58,730.47,422.36,544.92
