Program Time [s],data 0,data 1,data 2
9.40935,739.26,356.93,620.61
9.41366,725.1,354,616.7
9.41806,711.43,351.07,617.19
9.4224,709.96,349.61,607.91
9.42679,700.2,354.98,610.84
9.43115,718.75,353.52,611.82
9.43549,717.29,361.33,619.14
9.43987,716.8,355.47,611.33
9.44424,714.36,357.42,617.19
9.44862,719.73,355.96,620.12
9.45298,732.42,353.52,614.26
9.45735,710.45,357.91,610.35
9.46171,724.12,345.7,624.02
9.46608,718.75,345.7,611.82
9.47043,708.01,342.77,624.51
9.47479,718.75,342.29,610.35
9.47915,713.87,336.43,606.93
9.48354,720.21,346.19,621.58
9.48789,712.4,346.19,614.26
9.49226,720.7,358.4,622.07
9.49664,720.7,352.05,606.93
9.50098,728.52,348.63,615.72
9.50538,718.26,341.8,615.23
9.50975,734.37,345.7,616.21
9.5141,721.68,357.42,607.91
9.5141,720.7,351.07,616.7
9.52006,722.17,361.33,626.46
9.52443,726.07,354.98,625
9.52879,714.84,357.42,614.26
9.53316,708.98,336.43,607.91
9.53754,728.03,352.05,608.4
9.54191,726.07,357.91,610.84
9.54626,721.68,346.68,618.65
9.5506,716.8,354,615.23
9.55497,715.33,349.61,618.65
9.55935,719.24,343.26,628.42
9.56371,714.36,354.98,615.72
9.56807,715.82,338.38,619.63
9.57246,725.59,346.19,616.7
9.57679,712.89,352.05,628.42
9.58115,727.05,346.19,609.86
9.5855,703.61,354.98,626.46
9.5899,717.77,350.1,619.14
9.59426,715.82,354,606.45
9.59863,718.26,342.29,621.09
9.603,714.84,358.89,625.49
9.60737,720.7,346.19,623.54
9.61174,714.36,361.33,609.37
9.61611,716.31,350.59,619.14
9.62045,721.68,348.14,618.65
9.62482,728.03,342.29,621.58
9.6292,717.29,340.82,617.68
9.63355,714.84,357.42,634.28
9.63792,707.52,351.07,612.3
9.64229,706.54,346.19,615.72
9.64666,718.26,354.49,617.19
9.65099,709.96,345.7,616.7
9.65099,725.59,345.21,617.19
9.65698,721.68,349.61,613.77
9.66135,710.94,347.17,629.39
9.66571,729,353.52,614.75
9.67005,720.21,350.1,625.98
9.67446,712.89,354.98,622.56
9.67882,727.54,344.73,613.28
9.68318,721.68,350.1,613.28
9.68756,727.05,357.91,618.65
9.69192,729.98,349.61,611.33
9.69627,714.36,349.12,616.21
9.70066,721.68,354.49,619.63
9.70501,720.21,361.82,615.23
9.70938,712.89,345.7,610.84
9.71374,712.89,350.1,621.09
9.71812,708.01,342.77,604.49
9.72248,714.36,334.47,614.26
9.72685,729,335.94,612.79
9.7312,713.87,354,615.23
9.73557,717.77,336.43,617.68
9.73996,714.36,349.12,625.98
9.74435,721.68,359.37,612.3
9.74862,727.05,351.07,625.98
9.75299,716.31,347.66,619.14
9.7574,716.8,350.1,614.26
9.76174,708.98,350.59,619.63
9.76611,716.8,350.1,611.33
9.77044,718.26,350.59,626.95
9.77485,729.49,345.21,625.49
9.7792,726.56,347.66,626.95
9.78358,718.26,353.52,625.98
9.78788,716.31,355.47,613.28
9.78789,719.24,347.66,621.09
9.79388,724.12,352.05,608.4
9.79828,726.07,347.66,627.93
9.80262,728.52,353.52,613.77
9.80696,710.45,357.42,623.05
9.81134,694.34,347.66,606.93
9.81574,716.8,353.03,616.21
9.82006,711.91,350.59,618.16
9.82448,724.12,350.1,613.28
9.82884,720.21,349.12,627.93
9.83321,710.94,349.61,620.12
9.83753,722.17,358.4,614.75
9.84193,710.45,335.45,623.05
9.84634,720.7,355.47,618.16
9.85066,718.26,345.21,617.68
9.85503,715.82,350.1,617.68
9.8594,713.38,346.68,614.26
9.86377,723.63,345.7,621.09
9.86813,715.82,344.73,622.07
9.87247,725.59,350.1,624.02
9.87687,721.68,342.77,626.46
9.88121,707.03,339.36,620.12
9.88557,714.36,348.14,626.95
9.88998,720.21,333.98,624.02
9.89431,723.14,339.36,619.14
9.89871,703.61,359.86,612.3
9.90302,717.29,341.31,615.23
9.90743,718.75,351.07,624.51
9.9118,714.84,353.03,607.91
9.91617,717.29,342.29,621.09
9.92049,717.77,352.54,619.14
9.92486,722.17,343.26,612.3
9.92486,729.49,351.56,611.82
9.93084,721.19,353.52,624.02
9.93521,718.75,356.93,618.65
9.93959,719.73,349.12,622.07
9.94396,717.29,362.3,614.75
9.94835,711.91,344.73,618.16
9.95265,717.77,345.21,619.14
9.95702,705.57,364.75,625
9.9614,724.61,355.96,624.02
9.96576,719.73,351.56,612.79
9.9701,723.14,349.61,624.02
9.97451,706.54,348.14,614.75
9.97887,711.91,342.29,620.12
9.98323,710.94,352.54,615.23
9.98757,721.68,353.52,613.28
9.992,722.17,343.75,623.54
9.99635,711.91,362.79,624.51
10.0007,721.68,342.77,615.72
10.005,706.05,352.05,606.45
10.0094,715.33,346.68,611.82
10.0138,722.66,347.17,615.72
10.0182,719.24,356.45,630.37
10.0225,708.98,338.38,625.49
10.0269,707.52,346.19,606.45
10.0313,726.07,352.05,618.65
10.0356,725.1,349.12,625.49
10.04,717.29,349.61,622.56
10.0444,708.98,349.61,611.82
10.0487,710.94,347.17,614.75
10.0531,725.59,343.75,621.09
10.0575,728.03,339.84,610.35
10.0618,727.54,344.24,605.96
10.0618,712.4,335.45,609.86
10.0678,717.77,348.63,611.82
10.0722,738.77,357.42,613.77
10.0765,708.01,352.54,621.09
10.0809,713.38,354,620.61
10.0853,706.54,356.45,626.46
10.0896,728.52,350.1,624.51
10.094,720.21,351.07,611.33
10.0983,712.89,350.59,609.86
10.1027,727.54,354.98,611.82
10.1071,719.73,346.19,608.89
10.1115,711.43,364.26,614.26
10.1158,720.7,352.05,612.3
10.1201,717.29,342.77,628.42
10.1245,714.84,344.73,619.14
10.1289,724.61,353.52,610.35
10.1333,717.29,346.19,619.14
10.1376,722.17,334.96,606.45
10.142,715.33,340.82,621.09
10.1464,725.59,358.89,615.23
10.1507,721.68,341.8,620.12
10.1551,715.33,354.49,613.28
10.1595,714.36,350.1,626.46
10.1638,723.63,354,613.77
10.1682,720.7,344.73,623.05
10.1725,712.89,333.98,621.58
10.1769,719.73,340.33,617.68
10.1813,712.89,350.1,621.09
10.1857,708.5,348.14,628.42
10.19,711.91,349.61,623.54
10.1945,719.73,346.19,616.7
10.1989,726.56,352.05,616.21
10.1989,723.14,354,616.7
10.2047,708.01,358.4,615.72
10.2091,714.84,344.24,615.23
10.2135,719.24,349.12,622.07
10.2178,726.07,354.49,609.86
10.2222,728.03,356.45,613.28
10.2266,726.07,352.54,619.14
10.2309,716.8,354,625.49
10.2353,721.19,358.89,614.75
10.2397,708.98,354.98,613.77
10.244,719.24,341.31,625
10.2484,725.1,351.56,609.37
10.2528,711.43,350.1,609.86
10.2571,720.21,346.68,620.12
10.2615,720.21,354.98,620.12
10.2659,710.45,347.17,623.54
10.2702,726.56,351.56,600.1
10.2746,717.29,359.86,620.61
10.2789,717.29,347.17,627.93
10.2833,717.29,350.1,622.07
10.2876,720.7,350.59,609.86
10.2921,717.29,346.19,624.02
10.2964,718.26,335.94,619.63
10.3008,715.33,350.59,611.82
10.3051,724.61,346.68,606.93
10.3095,726.56,345.7,616.21
10.3139,720.21,350.1,616.7
10.3182,714.36,351.56,629.88
10.3226,712.4,353.52,617.19
10.327,711.43,352.54,614.26
10.3313,711.43,354.98,628.42
10.3357,723.14,350.59,625.49
10.3357,730.47,356.45,616.21
10.3417,729.49,341.31,619.14
10.346,710.94,353.52,618.65
10.3504,716.8,349.12,629.39
10.3547,709.47,356.93,628.91
10.3591,715.82,353.03,640.14
10.3635,726.56,354,634.28
10.3678,713.87,347.66,616.7
10.3722,723.63,358.89,622.07
10.3766,721.19,343.26,613.77
10.3809,718.26,352.05,612.3
10.3853,718.26,367.68,618.16
10.3896,718.75,352.05,607.91
10.394,719.24,341.8,612.79
10.3984,716.31,343.26,607.42
10.4028,720.7,332.52,612.3
10.4072,714.84,352.05,611.33
10.4115,723.63,356.93,619.63
10.4159,720.7,344.73,620.61
10.4202,717.29,342.77,622.07
10.4246,721.19,346.68,608.89
10.429,710.45,361.33,615.72
10.4333,723.14,359.37,618.16
10.4377,710.94,345.7,610.35
10.4421,733.89,344.73,627.93
10.4464,716.8,339.84,622.07
10.4508,724.12,342.77,636.23
10.4551,720.7,351.56,631.35
10.4595,717.77,335.45,618.65
10.4639,719.73,344.24,629.88
10.4683,722.66,345.21,625
10.4726,712.89,360.84,622.07
10.4726,707.52,355.47,612.3
10.4786,725.1,342.29,625
10.483,719.73,344.24,614.75
10.4873,704.1,344.73,616.7
10.4917,729.98,358.4,619.63
10.496,711.91,352.54,613.28
10.5004,721.19,358.4,613.28
10.5048,715.33,354.98,614.75
10.5092,722.66,349.12,619.63
10.5135,738.28,351.56,608.89
10.5179,720.21,347.17,620.61
10.5222,710.94,346.19,611.82
10.5266,710.94,347.17,605.96
10.531,711.91,367.19,608.89
10.5353,708.01,352.05,609.37
10.5397,715.82,355.47,616.21
10.5441,727.05,342.29,614.26
10.5484,715.82,339.36,628.91
10.5528,712.4,362.3,613.28
10.5572,720.21,358.4,613.28
10.5616,708.98,353.03,618.16
10.5659,720.7,345.7,623.54
10.5702,723.14,351.56,622.07
10.5746,718.26,340.82,624.02
10.579,708.98,353.03,615.23
10.5834,722.66,354,626.46
10.5877,720.7,344.73,609.37
10.5921,717.29,359.37,621.58
10.5965,719.24,342.77,608.4
10.6008,717.77,346.19,608.89
10.6052,713.38,336.43,620.12
10.6096,711.91,337.4,618.16
10.6096,724.61,347.66,622.07
10.6155,720.7,354.49,624.51
10.6199,712.4,338.87,613.28
10.6243,729,350.1,614.26
10.6286,734.37,345.7,608.89
10.633,718.26,345.7,615.72
10.6373,731.45,352.05,610.35
10.6417,728.03,355.47,622.56
10.6461,704.59,350.1,614.75
10.6504,736.82,346.19,620.61
10.6548,704.1,355.96,614.75
10.6592,719.24,347.17,619.14
10.6636,723.63,354,613.28
10.6679,702.64,354,610.35
10.6723,727.54,345.21,616.21
10.6767,720.7,355.47,614.75
10.681,715.82,349.61,616.21
10.6853,721.19,355.47,616.21
10.6897,729,347.17,615.23
10.6941,729.98,344.24,632.81
10.6985,712.4,348.14,614.75
10.7028,724.12,346.68,625.49
10.7072,722.17,355.47,616.7
10.7116,706.05,358.89,617.19
10.716,729.49,351.07,625.98
10.7203,720.21,345.7,606.93
10.7247,719.73,344.24,620.12
10.729,716.8,345.7,616.21
10.7334,712.89,361.82,620.61
10.7378,721.19,346.19,606.93
10.7422,721.19,353.03,623.05
10.7465,714.36,338.87,611.82
10.7465,711.43,350.1,615.72
10.7525,716.8,356.45,626.95
10.7568,718.26,350.59,614.75
10.7612,713.87,342.77,611.82
10.7656,718.26,361.33,620.12
10.7699,709.96,334.96,612.79
10.7743,724.12,347.17,625
10.7787,716.31,366.21,613.77
10.783,716.8,358.89,606.45
10.7874,719.24,339.84,625.49
10.7918,731.45,340.33,610.35
10.7961,716.8,357.91,624.51
10.8005,717.29,348.63,621.09
10.8049,719.73,358.89,620.12
10.8092,717.77,343.75,603.52
10.8136,719.24,340.33,621.09
10.8179,716.31,353.03,624.02
